country,date,tempAvgMonth,temp,precipProb,precipIntens,hasBadPrecip,rate
Heard Island and McDonald Islands,02.04.2018,0.0,1.29,0.01,0.0254,0,
Honduras,02.04.2018,25.93,25.03,0.05,0.1372,1,
Hong Kong,02.04.2018,22.8,11.66,0.0,0.0,0,
Hungary,02.04.2018,6.6,2.45,0.42,0.5258,0,
Iceland,02.04.2018,0.07,26.96,0.0,0.0,0,
India,02.04.2018,24.33,18.61,0.0,0.0,0,
Indonesia,02.04.2018,26.67,22.94,0.0,0.0,0,
Iran,02.04.2018,15.6,7.87,1.0,0.2032,1,
Iraq,02.04.2018,16.73,6.87,0.0,0.0,0,
Ireland,02.04.2018,7.4,16.46,0.0,0.0,0,
Isle of Man,02.04.2018,6.4,13.21,0.0,0.0,0,
Israel,02.04.2018,16.8,32.99,0.03,0.0305,1,
Italy,02.04.2018,10.8,28.32,0.51,2.761,1,
Ivory Coast,02.04.2018,27.47,15.74,0.0,0.0,0,
Jamaica,02.04.2018,25.07,10.94,0.0,0.0,0,
Japan,02.04.2018,10.4,18.31,0.0,0.0,0,
Jersey,02.04.2018,8.07,-3.83,0.0,0.0,0,
Jordan,02.04.2018,17.0,19.12,0.02,0.0457,1,
Kazakhstan,02.04.2018,4.87,27.67,0.05,0.0508,1,
Kenya,02.04.2018,24.8,10.12,0.0,0.0,0,
Kiribati,02.04.2018,25.13,24.59,0.0,0.0,0,
Kosovo,02.04.2018,0.0,8.8,0.0,0.0,0,
Kuwait,02.04.2018,22.8,25.52,0.0,0.0,0,
Kyrgyzstan,02.04.2018,2.53,0.78,0.12,0.0635,0,
Laos,02.04.2018,26.0,18.82,0.0,0.0,0,
Latvia,02.04.2018,2.2,18.41,0.0,0.0,0,
Lebanon,02.04.2018,15.33,28.71,0.0,0.0,0,
Lesotho,02.04.2018,15.07,18.14,0.0,0.0,0,
Liberia,02.04.2018,26.6,9.36,0.0,0.0,0,
Libya,02.04.2018,20.2,0.78,0.12,0.0584,1,
Liechtenstein,02.04.2018,4.2,10.7,0.11,0.0991,1,
Lithuania,02.04.2018,3.53,27.88,0.0,0.0,0,
Luxembourg,02.04.2018,6.6,13.93,0.0,0.0,0,
Macao,02.04.2018,22.8,19.67,0.04,0.094,1,
Macedonia,02.04.2018,9.8,7.77,0.08,0.0356,1,
Madagascar,02.04.2018,24.13,21.4,0.0,0.0,0,
Madeira,02.04.2018,0.0,25.64,0.47,1.5367,1,
Malawi,02.04.2018,20.93,29.61,0.18,0.2591,1,
Malaysia,02.04.2018,26.07,38.12,0.0,0.0,0,
Maldives,02.04.2018,27.6,15.51,0.0,0.0,0,
Mali,02.04.2018,28.0,27.02,0.0,0.0,0,
Malta,02.04.2018,14.53,29.47,0.07,0.0508,1,
Marshall Islands,02.04.2018,25.87,23.84,0.0,0.0,0,
Martinique,02.04.2018,24.2,27.12,0.05,0.0229,1,
Mauritania,02.04.2018,25.53,27.01,0.0,0.0,0,
Mauritius,02.04.2018,25.53,22.63,0.01,0.0229,1,
Mayotte,02.04.2018,27.33,25.02,0.09,0.0991,1,
Mexico,02.04.2018,20.47,5.46,0.0,0.0,0,
Micronesia,02.04.2018,26.93,13.22,0.0,0.0,0,
Moldava,02.04.2018,7.4,-11.43,0.0,0.0,0,
Monaco,02.04.2018,9.13,14.23,0.0,0.0,0,
Mongolia,02.04.2018,-0.6,27.21,0.04,0.0254,1,
Montenegro,02.04.2018,8.87,17.26,0.0,0.0,0,
Montserrat,02.04.2018,24.0,26.01,0.0,0.0,0,
Morocco,02.04.2018,16.53,24.83,0.04,0.0559,1,
Mozambique,02.04.2018,22.8,11.13,0.0,0.0,0,
Myanmar,02.04.2018,24.67,20.02,0.01,0.0406,1,
Nagorno-Karabakh,02.04.2018,8.4,27.82,0.05,0.0457,1,
Namibia,02.04.2018,21.27,15.18,0.16,0.348,1,
Nauru,02.04.2018,26.2,9.92,0.41,0.1829,1,
Nepal,02.04.2018,12.6,23.68,0.05,0.0152,1,
Netherlands,02.04.2018,6.13,17.67,0.0,0.0,0,
New Caledonia,02.04.2018,25.27,31.2,0.0,0.0,0,
New Zealand,02.04.2018,12.87,38.95,0.0,0.0,0,
Nicaragua,02.04.2018,26.53,34.88,0.0,0.0,0,
Niger,02.04.2018,26.87,23.54,0.33,0.4699,1,
Nigeria,02.04.2018,27.67,21.29,0.03,0.0203,1,
Niue,02.04.2018,26.13,6.14,0.03,0.0203,1,
Norfolk Island,02.04.2018,21.0,3.73,1.0,4.097,1,
North Korea,02.04.2018,4.93,24.57,0.04,0.0279,1,
Northern Cyprus,02.04.2018,0.0,1.61,0.0,0.0,0,
Northern Mariana Islands,02.04.2018,25.8,28.0,0.0,0.0,0,
Norway,02.04.2018,-1.4,29.97,0.0,0.0,0,
Oman,02.04.2018,26.67,26.18,0.05,0.0432,1,
Pakistan,02.04.2018,16.2,14.88,0.0,0.0,0,
Palau,02.04.2018,27.13,31.28,0.0,0.0,0,
